cmp;date;party_id
15810;198704;1455
15810;199104;1455
15810;199504;1455
15810;199905;1455
15810;200305;1455
15810;200705;1455
15810;200904;1455
15810;201304;1455
15810;201610;1455
15810;201710;1455
15951;198304;147
15951;198704;147
15951;199104;147
15951;199504;147
15952;201304;2205
15952;201610;2205
15952;201710;2205
15953;201710;2632
21111;198111;161
21111;198510;161
21111;198712;161
21111;199111;161
21111;199505;161
21111;199906;161
21111;200305;161
21111;200706;161
21111;201006;161
21112;198111;1594
21112;198510;1594
21112;198712;1594
21112;199111;1594
21112;199505;1594
21112;199906;1594
21112;200305;1594
21112;200706;1594
21112;201006;1594
21112;201405;1594
21221;200305;1113
21221;200706;1113
21230;201405;256
21321;198111;1029
21321;198510;1029
21321;198712;1029
21321;199111;1029
21321;199505;1029
21321;199906;1029
21321;200706;1113
21321;201006;1029
21321;201405;1029
21322;198111;1378
21322;198510;1378
21322;198712;1378
21322;199111;1378
21322;199505;1378
21322;199906;1378
21322;200305;1378
21322;200706;1378
21322;201006;1378
21330;200706;1113
21421;198111;1110
21421;198510;1110
21421;198712;1110
21421;199111;1110
21421;199505;1110
21421;199906;1110
21421;200305;1110
21421;200706;1110
21421;201006;1110
21421;201405;1110
21422;198111;454
21422;198510;454
21422;198712;454
21422;199111;454
21423;199505;454
21425;199906;454
21426;200305;915
21426;200706;915
21426;201006;915
21430;200706;221
21430;201006;221
21521;198111;723
21521;198510;723
21521;198712;723
21521;199111;723
21521;199505;723
21521;199906;723
21521;200305;723
21521;200706;972
21521;201006;723
21521;201405;723
21522;198111;1192
21522;198510;1192
21522;198712;1192
21522;199111;1192
21522;199505;1192
21522;199906;1192
21522;200305;1192
21522;200706;1192
21522;201006;1192
21911;198111;460
21912;198111;969
21912;198510;969
21912;198712;969
21912;199111;969
21913;198111;290
21913;198510;290
21913;198712;290
21913;199111;290
21913;199505;290
21914;198111;993
21914;198510;993
21914;198712;993
21914;199111;993
21914;199505;993
21914;199906;993
21914;200305;993
21915;199906;290
21916;200305;501
21916;200706;972
21916;201006;501
21916;201405;501
21917;200706;993
21917;201006;993
21917;201405;993
22110;198909;756
22110;199405;756
22110;199805;756
22110;200205;756
22110;200301;756
22110;200611;756
22110;201006;756
22110;201209;756
22110;201703;756
22210;198209;1194
22220;199405;357
22220;199805;357
22220;200205;357
22220;200301;357
22220;200611;357
22220;201006;357
22220;201209;357
22220;201703;357
22230;198605;1452
22310;198105;342
22310;198209;342
22310;198605;342
22320;198105;742
22320;198209;742
22320;198605;742
22320;198909;742
22320;199405;742
22320;199805;742
22320;200205;742
22320;200301;742
22320;200611;742
22320;201006;742
22320;201209;742
22320;201703;742
22321;201703;2641
22330;198105;345
22330;198209;345
22330;198605;345
22330;198909;345
22330;199405;345
22330;199805;345
